Name,First Name,Last Name,Login Name,User Name,Job Title,Display Name,Description,Password,Email,Organizational Unit,
Nina Poulsen,Nina,Poulsen,nipo@test.local,nipo,Kontorelev,nipo,Administrationafdeling,P@ssw0rd!!,nipo@test.dk,"OU=Administrator-afd,OU=Firma1,DC=test,DC=local",
Viktor Hald,Viktor,Hald,viha@test.local,viha,Personalechef,viha,Personaleafdeling,P@ssw0rd!!,viha@test.dk,"OU=Personaleadeling,OU=Firma1,DC=test,DC=local ",
Marianne Jensen,Marianne,Jensen,maje@test.local,maje,Kontorassistent,maje,Personaleafdeling,P@ssw0rd!!,maje@test.dk,"OU=Personaleadeling,OU=Firma1,DC=test,DC=local ",
Ulla Hansen,Ulla,Hansen,ulha@test.local,ulha,Informationsmedarbejder,ulha,Personaleafdeling,P@ssw0rd!!,ulha@test.dk,"OU=Personaleadeling,OU=Firma1,DC=test,DC=local ",
Kurt Nielsen,Kurt,Nielsen,kuni@test.local,kuni,Økonomichef,kuni,Økonomiafdeling,P@ssw0rd!!,kuni@test.dk,"OU=okonmiafdelen,OU=Firma1,DC=test,DC=local",
Hanne Jensen,Hanne,Jensen,haje@test.local,haje,Bogholderi,haje,Økonomiafdeling,P@ssw0rd!!,haje@test.dk,"OU=okonmiafdelen,OU=Firma1,DC=test,DC=local",
Anders Larsen,Anders,Larsen,anla@test.local,anla,Kasse,anla,Økonomiafdeling,P@ssw0rd!!,anla@test.dk,"OU=okonmiafdelen,OU=Firma1,DC=test,DC=local",
Michael Mester,Michael,Mester,mime@test.local,mime ,IT-Chef,mime ,IT-Afdeling,P@ssw0rd!!,mime@test.dk,"OU=IT-afdeling,OU=Firma1,DC=test,DC=local",
Gunnar Nørd,Gunnar,Nørd,gunø@test.local,gunø,Netværksadministrator,gunø,IT-Afdeling,P@ssw0rd!!,gunø@test.dk,"OU=IT-afdeling,OU=Firma1,DC=test,DC=local",
Karina Petersen,Karina,Petersen,kape@test.local,kape,Lærling,kape,IT-Afdeling,P@ssw0rd!!,kape@test.dk,"OU=IT-afdeling,OU=Firma1,DC=test,DC=local",
Line Kold,Line,Kold,liko@test.local,liko,Produktionschef,liko,Produktionsafdeling,P@ssw0rd!!,liko@test.dk,"OU=Produkionschef,OU=Produkionsafdelen,OU=Firma1,DC=test,DC=local",
Jesper Johansen,Jesper,Johansen,jejo@test.local,jejo,Produktions Værkfører,jejo,Produktionsafdeling,P@ssw0rd!!,jejo@test.dk,"OU=Produkions,OU=Produkionsafdelen,OU=Firma1,DC=test,DC=local ",
Sune Fender,Sune,Fender,sufe@test.local,sufe,Produktions Svend,sufe,Produktionsafdeling,P@ssw0rd!!,sufe@test.dk,"OU=Produkions,OU=Produkionsafdelen,OU=Firma1,DC=test,DC=local ",
Gunnar Jensen,Gunnar,Jensen,guje@test.local,guje,Produktions Svend/SuperBruger,guje,Produktionsafdeling,P@ssw0rd!!,guje@test.dk,"OU=Produkions,OU=Produkionsafdelen,OU=Firma1,DC=test,DC=local ",
Ib Frederiksen,Ib,Frederiksen,ibfr@test.local,ibfr,Produktions Lærling,ibfr,Produktionsafdeling,P@ssw0rd!!,ibfr@test.dk,"OU=Produkions,OU=Produkionsafdelen,OU=Firma1,DC=test,DC=local ",
Hans Bjergsted,Hans,Bjergsted,habj@test.local,habj,Reparations Værkfører,habj,Produktionsafdeling,P@ssw0rd!!,habj@test.dk,"OU=Reparation,OU=Produkionsafdelen,OU=Firma1,DC=test,DC=local",
Torben Gerner,Torben,Gerner,toge@test.local,toge,Reparations Svend,toge,Produktionsafdeling,P@ssw0rd!!,toge@test.dk,"OU=Reparation,OU=Produkionsafdelen,OU=Firma1,DC=test,DC=local",
Frank Ceder,Frank,Ceder,frce@test.local,frce,Reparations Lærling,frce,Produktionsafdeling,P@ssw0rd!!,frce@test.dk,"OU=Reparation,OU=Produkionsafdelen,OU=Firma1,DC=test,DC=local",
Tom Bajer,Tom,Bajer,toba@test.local,toba,Lager Værksfører,toba,Produktionsafdeling,P@ssw0rd!!,toba@test.dk,"OU=Lager,OU=Produkionsafdelen,OU=Firma1,DC=test,DC=local",
Bjarne Henriksen,Bjarne,Henriksen,bjhe@test.local,bjhe,Lagerarbejder,bjhe,Produktionsafdeling,P@ssw0rd!!,bjhe@test.dk,"OU=Lager,OU=Produkionsafdelen,OU=Firma1,DC=test,DC=local",
Egon Hanson,Egon,Hanson,egha@test.local,egha,Lagerarbejder,egha,Produktionsafdeling,P@ssw0rd!!,egha@test.dk,"OU=Lager,OU=Produkionsafdelen,OU=Firma1,DC=test,DC=local",
,,,,,,,,,,,
,,,,,,,,,,,
